tIF,G_if,Tcell_if,Tamb_if,loadFactor_if,pf_if,P_load_if,Q_load_if,I_load_if,Vpv_mpp_if,Ipv_mpp_if,Vdc_cmd_if,D_mppt_if,Ppv_available_if,P_meas_if,P_pred_if,V_meas_if,V_pred_if,I_meas_if,I_pred_if,T_meas_if,T_case_if,T_junction_if,absP_if,absV_if,absI_if,absT_if,P_loss_if,capHealth_if
10,920.318863267555,32.7673519463201,27.0984158749535,0.931572391090522,0.86705664577941,8384.1515198147,4817.52204046462,13.4524975906367,770.12632897098,11.6693455485574,800,0.0373420887862751,8986.87024880438,8349.98537332322,8384.1515198147,303.696030069983,305.02,13.5203062349885,13.4904787523959,31.4610128616283,31.6872960207632,37.5583216877299,34.1661464914814,1.32396993001663,0.0298274825925375,0.226283159134962,259.303655252002,1
11,947.07399630175,31.7568865919073,27.8196508131026,0.888038618220399,0.85537690882682,7992.34756398359,4840.07100904838,12.9989452811341,772.516584766843,12.0200869894836,800,0.0343542690414458,9285.71654971628,8000.61704915124,7992.34756398359,306.433503233953,305.02,12.9523900646357,13.035645904204,31.5980533356878,32.6662934369886,38.6196189736542,8.26948516765515,1.41350323395267,0.0832558395683005,1.06824010130078,247.186007133514,1
12,882.599016515911,37.5638218599693,28.2871808179262,0.946814630906328,0.858870235976422,8521.33167815695,5081.75545104249,13.8029270640546,758.780279390243,11.1392997723163,796.97118594421,0.0515246507621966,8452.28099344979,8222.90634326338,8198.7125636463,305.218249664127,303.865188920879,13.3934082105248,13.3178409366555,33.5842741767626,33.3978528052588,39.4540810641703,24.1937796170787,1.35306074324797,0.0755672738692965,0.186421371503748,253.568429803495,1
13,909.425092895288,35.9459847233416,26.9615749630692,0.862690767240779,0.84479107166285,7764.21690516701,4917.90673597687,12.7861448528056,762.607273136935,11.4960423634519,800,0.0467409085788307,8766.96551865872,7777.24593406403,7764.21690516701,302.356202660322,305.02,12.7751296542413,12.8222446649527,31.8862401883103,32.2751087886555,38.3172123101735,13.0290288970182,2.66379733967779,0.0471150107114493,0.388868600345209,240.130419747434,1
14,921.287525621631,36.422312535188,28.9454771817342,0.876702226194014,0.841281551207546,7890.32003574613,5070.22298373067,13.0480174700924,761.480519698013,11.6405951075209,800,0.048149350377484,8864.08641206913,7876.27997122814,7890.32003574613,305.123911131159,305.02,13.0345444578964,13.0848566413191,34.677908157922,34.4685653984444,40.5263114246874,14.0400645179925,0.10391113115935,0.0503121834227187,0.209342759477593,244.030516569469,1
15,911.661593982198,35.3356569498593,27.4390218331711,0.882127591411977,0.852870815941418,7939.1483227078,4860.29517614577,12.9503628812077,764.051003485108,11.5311381013127,800,0.0449362456436151,8810.37763763331,7915.54880813984,7939.1483227078,305.932311841766,305.02,12.938725184103,12.9869263389684,32.7630116020125,33.1683960693564,39.2476809537643,23.5995145679553,0.912311841765984,0.048201154865378,0.405384467343893,245.540669774469,1
16,931.476664202305,35.0168898774257,27.7891230260603,0.911776385140514,0.852950361110242,8205.98746626462,5021.93359363648,13.3843833748382,764.805046994949,11.785399887305,800,0.0439936912563132,9013.5333146646,8167.01257140021,8205.98746626462,306.083319485114,305.02,13.5180894018065,13.4221722260595,32.2064697835842,33.7438425821006,39.8939410092777,38.9748948644183,1.06331948511388,0.095917175746953,1.53737279851644,253.79342679169,1
17,894.226902695833,38.3469887387719,28.1728879068705,0.882915306224086,0.869475331623933,7946.23775601677,4514.50833331693,12.71439109718,756.927698138435,11.277341801596,800,0.0538403773269563,8536.13237100245,7939.93079200121,7946.23775601677,303.765846256005,305.02,12.781713157722,12.7502883230801,34.3923902026324,34.3138688101214,40.4623405273743,6.30696401555724,1.25415374399455,0.0314248346418218,0.0785213925109716,245.759930598458,1
18,938.247703087856,38.7439461367881,29.9312558785876,0.867912056180558,0.850482122563664,7811.20850562502,4831.0557592246,12.7774537475107,755.988695413428,11.8278490376918,800,0.0550141307332155,8941.72016355161,7738.26751580098,7811.20850562502,305.06544073941,305.02,12.7181332199629,12.8135290215916,37.4823655434373,36.2384703111308,42.3579080252176,72.9409898240401,0.0454407394096847,0.0953958016287118,1.24389523230651,241.583768215208,1
19,919.196767471217,33.4672368946212,28.9435973063699,0.873166172706495,0.858765922764133,7858.49555435846,4688.63805921899,12.7308055607427,768.470751125774,11.6473495527138,800,0.0394115610927831,8950.64745939841,7878.91993394296,7858.49555435846,302.76314599584,305.02,12.7490070367581,12.7667491304828,34.8104839801973,35.41841366574,41.5263096844604,20.4243795845059,2.25685400415995,0.0177420937247526,0.607929685542686,243.04625425851,1
